name,l,b,RA,Dec,position_uncertainty,search_radius,TS,flux,flux_uncertainty,index,index_uncertainty,tested_radius
 2HWC J0534+220 , 184.546552486 , -5.78316902994 , 83.6279 , 22.0243 , 0.0572581068636 ,searchR, 11015.971849 ,1.84708e-13,2.377e-15,-2.58468,0.0114,0.0
 2HWC J0631+169 , 195.614065248 , 3.50657051858 , 97.998 , 16.9968 , 0.113814892167 ,searchR, 29.5591204489 ,6.7138e-15,1.47418e-15,-2.56525,0.150992,0.0
 2HWC J0635+180 , 195.036649733 , 4.69730506083 , 98.833 , 18.053 , 0.13031147939 ,searchR, 27.4239695041 ,6.54401e-15,1.48945e-15,-2.56196,0.164861,0.0
 2HWC J0700+143 , 201.102616572 , 8.44016617008 , 105.117 , 14.3235 , 0.80398651627 ,searchR, 29.0010252676 ,1.37969e-14,4.22204e-15,-2.1672,0.157216,1.0
 2HWC J0819+157 , 207.996715406 , 26.5239432688 , 124.98 , 15.7914 , 0.170774700122 ,searchR, 30.6543824896 ,1.57892e-15,3.13529e-15,-1.49618,0.671665,0.5
 2HWC J1040+308 , 197.593515354 , 61.3145773212 , 160.225 , 30.8653 , 0.216553593973 ,searchR, 26.2852061481 ,6.64905e-15,3.48714e-15,-2.07849,0.246096,0.5
 2HWC J1104+381 , 179.945352624 , 65.0467282377 , 166.113 , 38.1585 , 0.0572581068636 ,searchR, 1148.51176609 ,7.08464e-14,2.85431e-15,-3.03859,0.0260535,0.0
 2HWC J1309-054 , 311.11400418 , 57.096620976 , 197.314 , -5.49179 , 0.218986558924 ,searchR, 25.3105585216 ,1.22737e-14,3.46958e-15,-2.54821,0.178324,0.0
 2HWC J1653+397 , 63.6389089905 , 38.8546504689 , 253.477 , 39.7899 , 0.0654772221747 ,searchR, 555.54018601 ,5.65108e-14,2.69839e-15,-2.85683,0.0369638,0.0
 2HWC J1809-190 , 11.3339381775 , 0.178894460102 , 272.461 , -19.0366 , 0.174440734261 ,searchR, 85.4620744849 ,8.0878e-14,1.514e-14,-2.61295,0.107754,0.0
 2HWC J1812-126 , 17.2935842911 , 2.62796517378 , 273.208 , -12.6356 , 0.191651846749 ,searchR, 26.8133409856 ,2.74268e-14,5.74579e-15,-2.84262,0.163945,0.0
 2HWC J1814-173 , 13.3305898596 , 0.130698009895 , 273.516 , -17.3091 , 0.178508709425 ,searchR, 141.28650496 ,8.83643e-14,1.30036e-14,-2.60845,0.0901365,0.0
 2HWC J1819-150* , 15.9143291434 , 0.088210534231 , 274.834 , -15.0562 , 0.157653218559 ,searchR, 62.9226524644 ,5.89801e-14,7.8871e-15,-2.88486,0.104535,0.0
 2HWC J1825-134 , 18.1153885527 , -0.526401503612 , 276.46 , -13.4014 , 0.0856313264529 ,searchR, 767.25676036 ,1.38012e-13,8.09629e-15,-2.5812,0.0419738,0.0
 2HWC J1829+070 , 36.7191909936 , 8.09327082165 , 277.339 , 7.03039 , 0.101141559714 ,searchR, 25.2934561476 ,8.05145e-15,1.74879e-15,-2.68713,0.165828,0.0
 2HWC J1831-098 , 21.8585284364 , -0.1179344275 , 277.866 , -9.89685 , 0.167918200933 ,searchR, 106.52510521 ,4.4207e-14,4.70261e-15,-2.8039,0.0937327,0.0
 2HWC J1837-065 , 25.4838504736 , 0.0984602838147 , 279.36 , -6.57959 , 0.0642371516851 ,searchR, 548.59945284 ,8.51951e-14,4.0642e-15,-2.90358,0.0401997,0.0
 2HWC J1844-032 , 29.2283763223 , 0.106454675716 , 281.074 , -3.24701 , 0.0978175932187 ,searchR, 309.23574201 ,4.68264e-14,3.19028e-15,-2.6393,0.0560746,0.0
 2HWC J1847-018 , 30.8916621879 , -0.0271368837689 , 281.953 , -1.82811 , 0.107035738198 ,searchR, 132.09364624 ,2.89355e-14,2.82654e-15,-2.95386,0.0764153,0.0
 2HWC J1849+001 , 32.8188127654 , 0.466186818121 , 282.393 , 0.111906 , 0.104926550329 ,searchR, 134.26088641 ,2.28313e-14,2.86432e-15,-2.53746,0.098708,0.0
